title,news-source,date_YMD,timestamp,date,teaser,tags,article-url,image-url,,
Can Code for America Save Our Broke Cities?,Mother Jones,20/5/12,15480,"May 20, 2012","Jen Pahlka on dumb bureaucracy, government as a vending machine, and Silicon Valley sexism.",Jennifer Pahlka,http://www.motherjones.com/media/2012/05/code-for-america-jen-pahlka-interview,http://www.motherjones.com/files/imagecache/master-image-main/pahlka_425x320.jpg,,
"Part Peace Corps, Part Venture Capital: Code for America's Plan for Public Innovation",GOOD Magazine,13/5/12,15473,"May 13, 2012","Solving Uncle Sam’s tech dilemmas is big business, but if your company wants a government contract, you’ll need to understand the bureaucratic beast—both to secure the deal and deliver on it. ",tag,http://magazine.good.is/articles/part-peace-corps-part-venture-capital-code-for-america-s-plan-for-public-innovation,http://assets.goodstatic.com/s3/magazine/assets/456551/original/1336631542Screenshot2012-05-09at11.25.34PM.jpg=s1600x1900,,
San Francisco's Newest Accelerator Will Tackle This $172 Billion Market,Business Insider,18/4/12,15448,"Apr 18, 2012",There's a new accelerator in a town. This one wants to transform the $172 billion government IT market into something less bureaucratic.,Accelerator,http://www.businessinsider.com/san-franciscos-newest-accelerator-will-tackle-this-172-billion-market-2012-4,http://static3.businessinsider.com/image/4dcbf2a44bd7c8df05010000-480/ron-conway.jpg,,
3 Hackathons Trying to Change the World,Mashable,18/4/12,15448,"Apr 18, 2012","Early success helped to fuel the launch of Code for America, a non-profit founded in 2009, which offers fellowships to tech workers interested in helping city government leaders.",Accelerator,http://mashable.com/2012/04/18/hackathons-social-good/,http://rack.3.mshcdn.com/media/ZgkyMDEyLzEyLzA0LzI4LzNoYWNrYXRob25zLmFNSC5qcGcKcAl0aHVtYgk5NTB4NTM0IwplCWpwZw/9ccaca50/445/3-hackathons-trying-to-change-the-world-acccd081d5.jpg,,
"To Fix Government, Call in the Geeks",CNN,25/3/12,15424,"Mar 25, 2012",A couple of years ago I started a program to try to get rock-star tech and design people to take a year off and work in the one environment that represents pretty much everything they're supposed to hate -- government.,"Jennifer Pahlka,Videos",http://www.cnn.com/2012/03/25/opinion/pahlka-code-government/index.html,,,NEEDS IMAGE
"Top 25 Doers, Dreamers & Drivers",Government Technology,29/2/12,15399,"Feb 29, 2012","Since Code for America (CfA) launched in 2010, the project, which seeks to help “governments work better for everyone with the people and the power of the Web,” has become a sensation in city government.",tag,http://www.govtech.com/top-25/Code-for-America-Fellows.html,http://media2.govtech.com/images/770*1000/top25_code.jpg,,
Code for America's Vision for Peer-to-Peer City Governance,Shareable,20/2/12,15390,"Feb 20, 2012","Times are tough for American cities. Facing budget shortfalls, municipalities are slashing public programs, reducing staff, and in some cases, barely staying solvent.",Videos,http://www.shareable.net/blog/code-for-americas-vision-for-peer-to-peer-city-government,http://www.shareable.net/sites/default/files/styles/blog-header-large/public/blog/top-image/codeforamerica.jpg?itok=8sqMNLsn,,
How Jennifer Pahlka’s Code for America is transforming the way ailing cities solve problems,Hemispheres Magazine,2/1/12,15341,"Jan 2, 2012","Municipalities may be struggling these days, but the news isn’t all bad, thanks to some conscientious technologists.",Jennifer Pahlka,http://www.hemispheresmagazine.com/2012/01/01/next-big-things/4/,http://www.hemispheresmagazine.com/images/2012/jan/15-nextthings04.jpg,,Date unsure
Dr. Jill Biden's SF Visit,San Francisco Sentinel,1/1/12,15340,"Jan 1, 2012",Dr. Biden traveled to San Francisco to visit the Code for America offices and learn how technology can be used to help veterans apply for jobs.,tag,http://www.sanfranciscosentinel.com/?p=166865,http://www.sanfranciscosentinel.com/wp-content/uploads/2012/01/photo009846res.jpg,,Date unsure
Code for America Opens 'Civic Accelerator' in S.F.,SF Gate,6/1/12,15345,"Jan 6, 2012","The nonprofit Code for America plans to open a first-of-its-kind ""civic accelerator"" in San Francisco, a program designed to house, mentor and fund startups focused on using technology to improve government efficiency.","accelerator,Ed Lee",http://www.sfgate.com/business/article/Code-for-America-opens-civic-accelerator-in-S-F-2445629.php,http://ww2.hdnux.com/photos/07/50/43/2001125/5/920x920.jpg,,
Code for America: An Elegant Solution for Government IT Problems,The Washington Post,19/12/11,15327,"Dec 19, 2011",Code for America is the technology world’s equivalent of the Peace Corps or Teach for America. The premise is simple and elegant. ,tag,http://www.washingtonpost.com/national/on-innovations/code-for-america-an-elegant-solution-for-government-it-problems/2011/12/16/gIQAXrIu2O_story.html,,,NEEDS IMAGE
HuffPosts's 2011 Game Changers: This Year's Ultimate 12,Huffington Post,25/10/11,15272,"Oct 25, 2011","Last month we announced HuffPost's 2011 Game Changers -- 100 innovators, visionaries, and leaders who are changing the way we look at the world and the way we live in it. ",Jennifer Pahlka,http://www.huffingtonpost.com/arianna-huffington/huffposts-2011-game-chang_b_1031454.html?ref=2011-game-changers#s421114title=Business_and_Tech,http://i.huffpost.com/gadgets/slideshows/194059/slide_194059_421114_free.jpg,,
