"First Name (required)","Last Name (required)","Title","Company","Description","Image URL","Website","Twitter Handle","Facebook URL","LinkedIn URL","Session IDs","Attendee ID","Speaker ID"
"Lauren","Ancona","Senior Data Scientist","City of Philadelphia","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lauren-ancona.jpg","","","","","breakout_105,breakout_165","","lauren-ancona"
"Mark","Headd","Developer Evangelist","Accela","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mark-headd.jpg","","","","","breakout_106","","mark-headd"
"Amy","Edwards","Senior Advisor","Financial Transparency, U.S. Department of the Treasury","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/amy-edwards.jpg","","","","","breakout_106","","amy-edwards"
"Renata","Maziarz","Senior Advisor","Office of the Fiscal Assistant Secretary, U.S. Treasury","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/renata-maziarz.jpg","","","","","breakout_106","","renata-maziarz"
"Philip","Ashlock","Chief Architect","Data.gov","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/philip-ashlock.jpg","","","","","breakout_106","","philip-ashlock"
"Mjumbe","Poe","Digital Services Architect","City of Philadelphia","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mjumbe-poe.jpg","","","","","breakout_107","","mjumbe-poe"
"Gabriel","Farrell","Civic Technology Engineer","City of Philadelphia","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/gabriel-farrell.jpg","","","","","breakout_107","","gabriel-farrell"
"Tom","Loosemore","Former Deputy Director","UK Government Digital Service","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/tom-loosemore.jpg","","","","","breakout_108","","tom-loosemore"
"Andrew","Homeyer","Chief Waffle Maker","Waffle.io","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/andrew-homeyer.jpg","","","","","breakout_109","","andrew-homeyer"
"Tyrone","Grandison","Deputy Chief Data Officer","US Department of Commerce","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/tyrone-grandison.jpg","","","","","breakout_109","","tyrone-grandison"
"Adam","Martin","Co-Captain","Code for Durham & Program Manager, Open Raleigh ","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/adam-martin.jpg","","","","","breakout_109","","adam-martin"
"Anita","Cafiero","Co-captain","Code for Greensboro  & Tiny Goat Studio, Co-founder","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/anita-cafiero.jpg","","","","","breakout_109","","anita-cafiero"
"Willy","Douglas","Co-Captain","Code for Denver & Software Engineer, Rally","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/willy-douglas.jpg","","","","","breakout_109","","willy-douglas"
"Lili","Gangas","Census/CitySDKScrum Master ","","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lili-gangas.jpg","","","","","breakout_109","","lili-gangas"
"Molly","McLeod","Designer","Code for America","","http://codeforamerica.org/media/images/people/molly-mcleod.jpg","","","","","breakout_110","","molly-mcleod"
"Fumi","Yamazaki","Program Manager","Google","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/fumi-yamazaki.jpg","","","","","breakout_111","","fumi-yamazaki"
"Krista","Canellakis","Deputy Innovation Officer","City and County of San Francisco","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/krista-canellakis.jpg","","","","","breakout_111","","krista-canellakis"
"Robert","Smuts","Deputy Director","San Francisco Department of Emergency Management","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/robert-smuts.jpg","","","","","breakout_111","","robert-smuts"
"Nancy","Torres","Research Analyst","Google","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/nancy-torres.jpg","","","","","breakout_111","","nancy-torres"
"Diara","Dankert","Google","","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/diara-dankert.jpg","","","","","breakout_111","","diara-dankert"
"James","Driscoll","Privacy Program Manager","Google","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/james-driscoll.jpg","","","","","breakout_111","","james-driscoll"
"Dustin","Haisler","Chief Innovation Officer","eRepublic","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/dustin-haisler.jpg","","","","","breakout_112","","dustin-haisler"
"Andrew","Nicklin","Director of Open Data Johns Hopkins University Center for Government Excellence","","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/andrew-nicklin.jpg","","","","","breakout_112","","andrew-nicklin"
"Sheila","Dugan","‎Senior Analyst","What Works Center for Government Excellence, Johns Hopkins University","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/sheila-dugan.jpg","","","","","breakout_112","","sheila-dugan"
"Vijay","Sammeta"," Chief Information Officer","City of San José","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/vijay-sammeta.jpg","","","","","breakout_112","","vijay-sammeta"
